title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Steppenwolf,Hermann Hesse,4.13,183661,1927-01-01,256,"['Fiction', 'Classics', 'Philosophy', 'German Literature', 'Literature', 'Novels', 'Germany', 'Fiction', 'Classics', 'Philosophy', 'German Literature', 'Literature', 'Novels', 'Germany', 'Fiction', 'Classics', 'Philosophy', 'German Literature', 'Literature', 'Novels', 'Germany']",17000,8000,1788,2578,8254,30949,62986,78894
Things Fall Apart,Chinua Achebe,3.73,368665,1958-01-01,215,"['Fiction', 'Classics', 'Historical Fiction', 'Africa', 'School', 'Literature', 'Nigeria']",3680,19512,135,12608,31254,94470,134957,95376
How the Grinch Stole Christmas!,Dr. Seuss,4.38,411607,1957-10-12,64,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Fantasy']",17600,4645,848,7516,12407,47846,93680,250158
The Prophet,Kahlil Gibran,4.23,296447,1923-01-01,127,"['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']",14200,14308,1109,5357,12054,42615,84769,151652
The Shining,Stephen King,4.27,1474989,1977-01-28,497,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Paranormal', 'Mystery']",841000,38220,2519,26292,42290,186709,473720,745978
As I Lay Dying,William Faulkner,3.72,166983,1930-01-01,288,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Southern Gothic']",9237,10631,927,9061,16265,37806,53669,50182
The Plague,Albert Camus,4.02,260383,1947-06-10,308,"['Fiction', 'Classics', 'Philosophy', 'France', 'Literature', 'French Literature', 'Novels', 'Fiction', 'Classics', 'Philosophy', 'France', 'Literature', 'French Literature', 'Novels', 'Fiction', 'Classics', 'Philosophy', 'France', 'Literature', 'French Literature', 'Novels']",30000,14989,843,2904,11851,51935,104452,89241
Goodnight Moon,Margaret Wise Brown,4.31,371947,1947-09-03,32,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals']",907,7135,378,8580,14515,49490,81185,218177
The Waste Land,T.S. Eliot,4.11,53588,1922-01-01,288,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'School', 'American', 'Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'School', 'American', 'Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'School', 'American']",5039,1711,1112,1315,2761,8903,16557,24052
Peter Pan,J.M. Barrie,4.04,345250,1911-10-01,176,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Adventure', 'Young Adult', 'Middle Grade', 'Fantasy', 'Fiction', 'Childrens', 'Classics', 'Adventure', 'Young Adult', 'Middle Grade', 'Fantasy', 'Fiction', 'Childrens', 'Classics', 'Adventure', 'Young Adult', 'Middle Grade']",2161,16255,2046,6741,17190,69824,114054,137441
