title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The House on Mango Street,Sandra Cisneros,3.69,187363,1984-01-01,110,"['Fiction', 'Classics', 'Young Adult', 'Short Stories', 'School', 'Coming Of Age', 'Contemporary']",3443,16546,87,6539,16492,51600,66425,46307
Pedro Páramo,Juan Rulfo,4.06,68998,1955-03-19,124,"['Fiction', 'Classics', 'Magical Realism', 'Spanish Literature', 'Latin American', 'Novels', 'Literature', 'Fiction', 'Classics', 'Magical Realism', 'Spanish Literature', 'Latin American', 'Novels', 'Literature', 'Fiction', 'Classics', 'Magical Realism', 'Spanish Literature', 'Latin American', 'Novels', 'Literature', 'Fiction', 'Classics', 'Magical Realism', 'Spanish Literature', 'Latin American', 'Novels', 'Literature', 'Fiction', 'Classics', 'Magical Realism', 'Spanish Literature', 'Latin American', 'Novels', 'Literature']",1532,6066,129,1312,3813,12636,23225,28012
The Agony and the Ecstasy,Irving Stone,4.08,90216,1958-01-01,776,"['Historical Fiction', 'Fiction', 'Art', 'Classics', 'Italy', 'Historical', 'Art History']",1133,2363,174,3228,4136,14349,28605,39898
Black Boy,Richard Wright,4.08,53590,1945-02-01,419,"['Classics', 'Nonfiction', 'Memoir', 'Biography', 'African American', 'Race', 'Autobiography', 'Classics', 'Nonfiction', 'Memoir', 'Biography', 'African American', 'Race', 'Autobiography', 'Classics', 'Nonfiction', 'Memoir', 'Biography', 'African American', 'Race', 'Autobiography']",1831,2346,293,912,2198,9482,19938,21060
The Dharma Bums,Jack Kerouac,3.93,94102,1958-01-01,244,"['Fiction', 'Classics', 'Literature', 'Novels', 'Travel', 'American', 'Philosophy']",10400,3834,357,1996,5699,20691,34047,31669
"Tinker, Tailor, Soldier, Spy",John le Carré,4.06,93805,1974-04-01,381,"['Fiction', 'Mystery', 'Thriller', 'Espionage', 'Classics', 'Crime', 'Mystery Thriller']",8511,5396,174,2125,4766,15798,34100,37016
The Godfather,Mario Puzo,4.39,417411,1969-03-10,448,"['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels', 'Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels', 'Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels', 'Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels', 'Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']",4284,12625,151,5183,9204,42131,122946,237947
Cloudy With a Chance of Meatballs,Judi Barrett,4.18,139664,1978-08-01,32,"['Picture Books', 'Childrens', 'Fiction', 'Fantasy', 'Classics', 'Humor', 'Food', 'Picture Books', 'Childrens', 'Fiction', 'Fantasy', 'Classics', 'Humor', 'Food', 'Picture Books', 'Childrens', 'Fiction', 'Fantasy', 'Classics', 'Humor', 'Food']",103,2448,52,2444,5929,24343,38387,68561
The Far Pavilions,M.M. Kaye,4.2,43923,1978-08-01,958,"['Historical Fiction', 'Fiction', 'India', 'Romance', 'Historical', 'Classics', 'Adventure']",540,1628,36,538,1432,6935,14814,20204
The Hotel New Hampshire,John Irving,3.92,65374,1981-01-01,520,"['Fiction', 'Contemporary', 'Literature', 'Classics', 'Literary Fiction', 'Novels', 'American']",14800,2082,133,708,3163,15701,26592,19210
The Man Without Qualities,Robert Musil,4.19,6699,1930-01-01,1774,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Historical Fiction', 'Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Historical Fiction', 'Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Historical Fiction', 'Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Historical Fiction', 'Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Historical Fiction']",1078,470,253,173,324,959,1829,3414
The Long Winter,Laura Ingalls Wilder,4.17,87323,1940-01-01,448,"['Historical Fiction', 'Classics', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Historical Fiction', 'Classics', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Historical Fiction', 'Classics', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']",4767,2495,346,1785,2734,14549,28324,39931
Stopping by Woods on a Snowy Evening,Robert Frost,4.4,10665,1923-01-01,32,"['Poetry', 'Picture Books', 'Classics', 'Childrens', 'Christmas', 'Fiction', 'Nature', 'Poetry', 'Picture Books', 'Classics', 'Childrens', 'Christmas', 'Fiction', 'Nature', 'Poetry', 'Picture Books', 'Classics', 'Childrens', 'Christmas', 'Fiction', 'Nature']",4623,509,649,82,220,1135,3107,6121
Cold Comfort Farm,Stella Gibbons,3.89,50218,1932-09-08,233,"['Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', 'Literature', 'Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', 'Literature', 'Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', 'Literature', 'Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', 'Literature', 'Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', 'Literature']",356,4323,52,1162,3173,11726,18314,15843
Voyager,Diana Gabaldon,4.39,306296,1993-12-01,870,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",177000,12839,261,1855,5087,33422,96947,168985
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,4.13,135351,1985-06-15,400,"['Fiction', 'Fantasy', 'Magical Realism', 'Japan', 'Japanese Literature', 'Science Fiction', 'Contemporary', 'Fiction', 'Fantasy', 'Magical Realism', 'Japan', 'Japanese Literature', 'Science Fiction', 'Contemporary', 'Fiction', 'Fantasy', 'Magical Realism', 'Japan', 'Japanese Literature', 'Science Fiction', 'Contemporary']",117000,8493,545,1037,4849,23198,53222,53045
Cold Sassy Tree,Olive Ann Burns,4.02,103090,1984-01-01,391,"['Fiction', 'Historical Fiction', 'Classics', 'Southern', 'Historical', 'Adult Fiction', 'Coming Of Age']",426,4516,14,1684,4611,21310,38131,37354
West with the Night,Beryl Markham,4.15,38006,1942-01-01,294,"['Nonfiction', 'Memoir', 'Biography', 'Africa', 'Travel', 'History', 'Adventure']",204,3854,14,692,1490,6039,13073,16712
Tuck Everlasting,Natalie Babbitt,3.9,272713,1975-01-01,148,"['Fantasy', 'Classics', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'School']",1058,11768,67,5770,17050,65310,95303,89280
Homage to Catalonia,George Orwell,4.1,60356,1938-04-25,232,"['History', 'Nonfiction', 'Politics', 'Classics', 'War', 'Memoir', 'Biography']",43800,3899,1188,786,1966,10403,24701,22500
The Caine Mutiny,Herman Wouk,4.28,25100,1951-03-19,537,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'World War II', 'Military Fiction', 'Literature']",1074,1293,191,200,517,3294,9163,11926
The Human Stain,Philip Roth,3.91,40969,2000-05-10,361,"['Fiction', 'Novels', 'Literature', 'American', 'Contemporary', 'Literary Fiction', 'Classics']",6691,2770,258,881,2434,8879,16187,12588
Even Cowgirls Get the Blues,Tom Robbins,3.78,54573,1976-04-01,366,"['Fiction', 'Humor', 'Novels', 'Literature', 'Magical Realism', 'Contemporary', 'Literary Fiction']",6507,2141,71,1368,4022,14346,20307,14530
Hopscotch,Julio Cortázar,4.21,42336,1963-01-01,564,"['Fiction', 'Classics', 'Spanish Literature', 'Literature', 'Latin American', 'Novels', 'Magical Realism', 'Fiction', 'Classics', 'Spanish Literature', 'Literature', 'Latin American', 'Novels', 'Magical Realism', 'Fiction', 'Classics', 'Spanish Literature', 'Literature', 'Latin American', 'Novels', 'Magical Realism']",6285,3402,668,998,2045,5759,11766,21768
The Last Unicorn,Peter S. Beagle,4.18,118841,1968-03-01,294,"['Fantasy', 'Fiction', 'Young Adult', 'Graphic Novels', 'Childrens', 'Classics', 'Adventure', 'Fantasy', 'Fiction', 'Young Adult', 'Graphic Novels', 'Childrens', 'Classics', 'Adventure', 'Fantasy', 'Fiction', 'Young Adult', 'Graphic Novels', 'Childrens', 'Classics', 'Adventure']",3033,7069,223,1916,4834,19714,36063,56314
Being and Time,Martin Heidegger,4.05,24718,1927-01-01,589,"['Philosophy', 'Nonfiction', 'Classics', 'Psychology', 'Theory', 'German Literature', 'Science']",2651,797,810,857,1354,4328,7417,10762
The Bridge of San Luis Rey,Thornton Wilder,3.79,34856,1927-01-01,160,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction', 'Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction', 'Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']",435,2678,213,695,2604,9527,12420,9610
Angels in America,Tony Kushner,4.29,21325,1993-05-01,304,"['Plays', 'Drama', 'Fiction', 'LGBT', 'Queer', 'Classics', 'Theatre']",435,1189,97,438,775,2477,6055,11580
The Bridge on the Drina,Ivo Andrić,4.33,21448,1945-01-01,314,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Nobel Prize', 'Historical', 'Novels', 'Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Nobel Prize', 'Historical', 'Novels', 'Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Nobel Prize', 'Historical', 'Novels', 'Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Nobel Prize', 'Historical', 'Novels', 'Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Nobel Prize', 'Historical', 'Novels']",1127,1632,272,210,631,2533,6528,11546
The Painted Bird,Jerzy Kosiński,3.91,26265,1965-01-01,234,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'Horror', 'Literature', 'Holocaust']",550,2091,49,852,1724,5332,9417,8940
Galápagos,Kurt Vonnegut Jr.,3.87,80774,1985-01-01,324,"['Fiction', 'Science Fiction', 'Classics', 'Humor', 'Literature', 'Novels', 'American']",33400,3794,530,1085,4567,20325,32371,22426
Rosemary's Baby,Ira Levin,4.04,139660,1967-01-01,308,"['Horror', 'Fiction', 'Classics', 'Thriller', 'Mystery', 'Fantasy', 'Paranormal']",1484,6765,70,2097,5991,28350,51504,51718
Four Quartets,T.S. Eliot,4.37,17990,1943-01-01,48,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'Philosophy', 'American']",5039,1165,1112,181,507,2053,4937,10312
Zorba the Greek,Nikos Kazantzakis,4.05,51088,1946-01-01,335,"['Fiction', 'Classics', 'Philosophy', 'Greece', 'Novels', 'Literature', 'Historical Fiction']",3851,5604,193,1418,3016,8650,16606,21398
A Scanner Darkly,Philip K. Dick,4.02,101444,1977-01-01,219,"['Science Fiction', 'Fiction', 'Dystopia', 'Classics', 'Science Fiction Fantasy', 'Novels', 'Cyberpunk']",20100,4144,1583,1660,4693,19459,39399,36233
Tarzan of the Apes,Edgar Rice Burroughs,3.9,44758,1912-10-01,323,"['Classics', 'Fiction', 'Adventure', 'Fantasy', 'Africa', 'Pulp', 'Science Fiction', 'Classics', 'Fiction', 'Adventure', 'Fantasy', 'Africa', 'Pulp', 'Science Fiction', 'Classics', 'Fiction', 'Adventure', 'Fantasy', 'Africa', 'Pulp', 'Science Fiction']",2586,3180,3036,805,2683,10945,16056,14269
The Selfish Gene,Richard Dawkins,4.15,177253,1976-01-01,360,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'Philosophy', 'Psychology', 'Popular Science']",20100,4846,161,4929,6979,25832,57565,81948
The Good Soldier Švejk,Jaroslav Hašek,4.1,18982,1921-03-01,752,"['Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature']",274,1338,272,358,949,3283,6291,8101
North and South,John Jakes,4.2,61034,1982-01-01,812,"['Historical Fiction', 'Fiction', 'Historical', 'Civil War', 'War', 'Classics', 'Romance']",873,1013,382,660,1858,9792,20874,27850
Guards! Guards!,Terry Pratchett,4.34,206081,1989-08-01,376,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Dragons', 'Science Fiction Fantasy', 'Audiobook']",42500,7083,489,2043,3564,23138,71459,105877
The Code of the Woosters,P.G. Wodehouse,4.32,28441,1938-10-07,286,"['Fiction', 'Classics', 'Humor', 'Comedy', 'British Literature', 'Audiobook', 'Novels']",6439,2218,1128,226,548,3300,10110,14257
The Exorcist,William Peter Blatty,4.2,232794,1971-05-01,385,"['Horror', 'Fiction', 'Classics', 'Paranormal', 'Thriller', 'Supernatural', 'Fantasy']",1160,8749,54,3712,7805,36027,75913,109337
We,Yevgeny Zamyatin,3.89,96197,1924-01-01,226,"['Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature', 'Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature', 'Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature']",1186,7363,287,1755,5976,22656,36532,29278
Fifth Business,Robertson Davies,4.06,19227,1970-01-01,252,"['Fiction', 'Canada', 'Classics', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Novels']",841,1365,161,361,987,3299,7150,7430
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.29,73038,1996-02-01,459,"['Science', 'Nonfiction', 'Philosophy', 'Religion', 'History', 'Skepticism', 'Atheism', 'Science', 'Nonfiction', 'Philosophy', 'Religion', 'History', 'Skepticism', 'Atheism', 'Science', 'Nonfiction', 'Philosophy', 'Religion', 'History', 'Skepticism', 'Atheism']",11600,3834,150,1551,2401,8572,21597,38917
The Day of the Triffids,John Wyndham,4.01,106893,1951-01-01,228,"['Science Fiction', 'Fiction', 'Classics', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Classics', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Classics', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy']",1810,5008,325,1276,4361,22362,42742,36152
Letters to a Young Poet,Rainer Maria Rilke,4.3,90485,1929-01-01,80,"['Poetry', 'Classics', 'Nonfiction', 'Philosophy', 'Writing', 'Essays', 'German Literature', 'Poetry', 'Classics', 'Nonfiction', 'Philosophy', 'Writing', 'Essays', 'German Literature', 'Poetry', 'Classics', 'Nonfiction', 'Philosophy', 'Writing', 'Essays', 'German Literature', 'Poetry', 'Classics', 'Nonfiction', 'Philosophy', 'Writing', 'Essays', 'German Literature', 'Poetry', 'Classics', 'Nonfiction', 'Philosophy', 'Writing', 'Essays', 'German Literature']",5859,9610,1444,846,2508,11807,29162,46162
Underworld,Don DeLillo,3.94,31282,1997-10-03,827,"['Fiction', 'Novels', 'Literature', 'Literary Fiction', 'American', 'Classics', 'Historical Fiction']",5884,2423,93,1057,2271,5902,10284,11768
V.,Thomas Pynchon,3.96,23248,1963-08-01,640,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Contemporary', 'Literary Fiction', 'Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Contemporary', 'Literary Fiction', 'Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Contemporary', 'Literary Fiction']",6401,1359,58,691,1329,4355,8642,8231
The Lord of the Rings,J.R.R. Tolkien,4.53,671986,1954-01-01,1216,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy']",70500,14525,585,6812,13005,50997,149951,451221
Trout Fishing in America,Richard Brautigan,3.76,15176,1967-01-01,112,"['Fiction', 'Poetry', 'Short Stories', 'Classics', 'American', 'Literature', 'Novels']",2023,1282,162,492,1306,3834,5274,4270
The Secret History,Donna Tartt,4.17,723178,1992-09-16,559,"['Fiction', 'Mystery', 'Classics', 'Contemporary', 'Thriller', 'Literary Fiction', 'Mystery Thriller']",31600,78398,40,11601,32389,107208,239198,332782
Our Town,Thornton Wilder,3.71,53602,1938-01-01,181,"['Plays', 'Classics', 'Drama', 'Fiction', 'Theatre', 'School', 'Read For School', 'Plays', 'Classics', 'Drama', 'Fiction', 'Theatre', 'School', 'Read For School', 'Plays', 'Classics', 'Drama', 'Fiction', 'Theatre', 'School', 'Read For School']",435,2600,213,1921,5235,14247,17072,15127
Little Town on the Prairie,Laura Ingalls Wilder,4.19,88907,1941-01-01,400,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']",4767,1668,346,1188,2595,15043,28982,41099
Doomsday Book,Connie Willis,4.03,59551,1992-06-05,578,"['Science Fiction', 'Time Travel', 'Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Science Fiction Fantasy']",4334,6611,258,1503,3331,10352,21068,23297
Stoner,John  Williams,4.33,163057,1965-01-01,288,"['Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Literary Fiction', 'Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Literary Fiction', 'Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Literary Fiction']",1727,19142,8,1458,4299,18004,54395,84901
Cosmos,Carl Sagan,4.39,145466,1980-01-01,384,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'History', 'Space', 'Philosophy']",11600,4423,150,2675,3519,14267,38696,86309
Death Comes for the Archbishop,Willa Cather,3.96,37216,1927-01-01,297,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'Religion', 'American']",2285,3773,709,744,2195,7975,13361,12941
I Am Legend and Other Stories,Richard Matheson,4.0,130925,1954-01-01,317,"['Horror', 'Fiction', 'Science Fiction', 'Vampires', 'Short Stories', 'Fantasy', 'Post Apocalyptic']",4183,5691,722,1868,6220,27793,48745,46299
The Talisman,Stephen King,4.12,128893,1984-11-08,656,"['Horror', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Supernatural', 'Horror', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Supernatural', 'Horror', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Supernatural']",841000,4872,2519,1860,6369,23143,40879,56642
Pilgrim at Tinker Creek,Annie Dillard,4.09,26950,1974-01-01,288,"['Nonfiction', 'Nature', 'Memoir', 'Essays', 'Classics', 'Philosophy', 'Science']",2343,2781,87,902,1513,4164,7949,12422
Dandelion Wine,Ray Bradbury,4.08,69762,1957-01-01,239,"['Classics', 'Science Fiction', 'Fantasy', 'Young Adult', 'Short Stories', 'Coming Of Age', 'Magical Realism']",22600,6239,2262,1455,3564,12518,22402,29823
The Lover,Marguerite Duras,3.73,55640,1984-01-01,117,"['Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'France', 'Romance', 'French Literature', 'Historical Fiction', 'Literature']",2672,4859,289,1469,5031,15139,19631,14370
Message in a Bottle,Nicholas Sparks,3.97,237460,1998-04-01,342,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance']",228000,5020,405,5123,14049,53111,74782,90395
The Long Walk,Richard Bachman,4.09,183004,1979-01-01,370,"['Horror', 'Fiction', 'Dystopia', 'Thriller', 'Science Fiction', 'Fantasy', 'Audiobook', 'Horror', 'Fiction', 'Dystopia', 'Thriller', 'Science Fiction', 'Fantasy', 'Audiobook', 'Horror', 'Fiction', 'Dystopia', 'Thriller', 'Science Fiction', 'Fantasy', 'Audiobook']",3999,12010,52,2406,8246,33805,65354,73193
Dragonflight,Anne McCaffrey,4.09,136660,1968-07-01,299,"['Fantasy', 'Science Fiction', 'Dragons', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'High Fantasy']",7225,4235,568,2487,6131,25458,45480,57104
House of Sand and Fog,Andre Dubus III,3.86,132700,1999-01-01,384,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature', 'Book Club']",993,4621,37,3929,8847,30075,49161,40688
Still Life with Woodpecker,Tom Robbins,4.03,79913,1980-10-01,277,"['Fiction', 'Humor', 'Literature', 'Novels', 'Magical Realism', 'Classics', 'Contemporary']",6507,3305,71,1625,3891,14770,29412,30215
The Right Stuff,Tom Wolfe,4.23,52415,1979-01-01,352,"['Nonfiction', 'History', 'Space', 'Science', 'Biography', 'American History', 'Classics']",2732,2084,165,769,1444,7078,18912,24212
Lord Jim,Joseph Conrad,3.62,30948,1900-01-01,61,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Novels', 'Historical Fiction', 'British Literature']",4179,1682,3102,1410,3166,8712,10264,7396
A Thousand Acres,Jane Smiley,3.82,68386,1991-01-01,371,"['Fiction', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels', 'Family', 'Historical Fiction']",2253,3577,130,1781,4694,16575,26259,19077
Black Hawk Down: A Story of Modern War,Mark Bowden,4.3,64079,1999-02-10,386,"['History', 'Nonfiction', 'Military Fiction', 'War', 'Military History', 'Africa', 'Historical']",1512,1916,71,577,1321,7880,23133,31168
Civilization and Its Discontents,Sigmund Freud,3.79,40217,1930-01-01,127,"['Psychology', 'Philosophy', 'Nonfiction', 'Classics', 'Psychoanalysis', 'Sociology', 'Theory', 'Psychology', 'Philosophy', 'Nonfiction', 'Classics', 'Psychoanalysis', 'Sociology', 'Theory', 'Psychology', 'Philosophy', 'Nonfiction', 'Classics', 'Psychoanalysis', 'Sociology', 'Theory', 'Psychology', 'Philosophy', 'Nonfiction', 'Classics', 'Psychoanalysis', 'Sociology', 'Theory', 'Psychology', 'Philosophy', 'Nonfiction', 'Classics', 'Psychoanalysis', 'Sociology', 'Theory']",7459,1709,3477,1277,3055,10302,13601,11982
Kim,Rudyard Kipling,3.71,37505,1901-10-01,366,"['Classics', 'Fiction', 'India', 'Historical Fiction', 'Adventure', 'Literature', 'Novels']",3205,2275,6490,1183,3389,10466,12731,9736
Ubik,Philip K. Dick,4.11,107169,1969-05-01,288,"['Science Fiction', 'Fiction', 'Classics', 'Novels', 'Science Fiction Fantasy', 'Mystery', 'Fantasy']",20100,6153,1583,1236,4168,18662,41020,42083
Alias Grace,Margaret Atwood,4.04,142600,1996-09-07,468,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Canada', 'Classics', 'Literary Fiction']",81200,8708,591,1464,5119,27154,61721,47142
The Black Stallion,Walter Farley,4.19,73463,1941-01-01,275,"['Classics', 'Fiction', 'Childrens', 'Horses', 'Young Adult', 'Animals', 'Middle Grade', 'Classics', 'Fiction', 'Childrens', 'Horses', 'Young Adult', 'Animals', 'Middle Grade', 'Classics', 'Fiction', 'Childrens', 'Horses', 'Young Adult', 'Animals', 'Middle Grade']",811,1479,200,658,2198,13379,23331,33897
The Rainmaker,John Grisham,4.0,195622,1995-04-01,419,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller']",80400,2627,712,1529,7324,45863,76213,64693
The Painted Veil,W. Somerset Maugham,3.96,45695,1925-04-01,246,"['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'China', 'Literature', 'British Literature']",5276,4515,1310,386,2045,10092,19501,13671
The Celestine Prophecy,James Redfield,3.71,113726,1993-01-01,247,"['Fiction', 'Spirituality', 'Philosophy', 'Self Help', 'Fantasy', 'New Age', 'Religion']",1298,4832,149,7805,11314,25100,31545,37962
The Power and the Glory,Graham Greene,3.98,39201,1940-03-01,222,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Religion', 'Novels', 'Literary Fiction', 'Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Religion', 'Novels', 'Literary Fiction', 'Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Religion', 'Novels', 'Literary Fiction']",5270,2837,456,666,2000,8033,15242,13260
The Haunting of Hill House,Shirley Jackson,3.82,298383,1959-10-16,182,"['Horror', 'Fiction', 'Gothic', 'Mystery', 'Paranormal', 'Classics', 'Audiobook']",9043,28642,292,6220,23307,75304,105907,87645
Love Story,Erich Segal,3.64,60382,1970-02-14,224,"['Romance', 'Fiction', 'Classics', 'Contemporary', 'Chick Lit', 'Love', 'Novels']",1047,3509,133,2318,6585,17101,18830,15548
The Tao of Pooh,Benjamin Hoff,4.01,119956,1982-04-28,176,"['Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism', 'Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism', 'Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism']",516,5957,15,2422,6406,24591,41155,45382
The Executioner's Song,Norman Mailer,4.06,21619,1979-10-30,1056,"['True Crime', 'Nonfiction', 'Crime', 'Biography', 'Classics', 'History', 'Literature']",1261,1568,307,435,1016,3781,8033,8354
Waiting for the Barbarians,J.M. Coetzee,3.93,31905,1980-12-01,152,"['Fiction', 'Africa', 'Classics', 'Literature', 'Novels', 'South Africa', 'Historical Fiction']",4738,2527,147,519,1789,6914,12857,9826
Needful Things,Stephen King,3.97,250642,1991-10-01,790,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Mystery', 'Audiobook']",841000,6225,2519,3296,13230,58362,89470,86284
This Side of Paradise,F. Scott Fitzgerald,3.64,73285,1920-03-26,275,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'Romance', 'Historical Fiction']",23600,4737,1968,2070,7090,22038,25820,16267
The Magic Mountain,Thomas Mann,4.13,48975,1924-01-01,706,"['Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', 'Germany', 'Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', 'Germany', 'Fiction', 'Classics', 'German Literature', 'Literature', 'Philosophy', 'Novels', 'Germany']",4368,3536,1449,1235,2613,7640,14716,22771
Chronicle of a Death Foretold,Gabriel García Márquez,3.97,190526,1981-01-01,120,"['Fiction', 'Classics', 'Magical Realism', 'School', 'Literature', 'Spanish Literature', 'Novels', 'Fiction', 'Classics', 'Magical Realism', 'School', 'Literature', 'Spanish Literature', 'Novels', 'Fiction', 'Classics', 'Magical Realism', 'School', 'Literature', 'Spanish Literature', 'Novels']",36100,11063,820,2524,9278,40926,76904,60894
